BilledCost,BillingAccountId,BillingAccountName,BillingAccountType,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountQuantity,CommitmentDiscountStatus,CommitmentDiscountType,CommitmentDiscountUnit,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceId,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,ServiceSubcategory,SkuId,SkuMeter,SkuPriceId,SubAccountId,SubAccountName,SubAccountType,Tags,x_Discounts,x_Operation,x_ServiceCode
64.56,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon DynamoDB WriteRequestUnits,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,,,,,,,,648.340,WriteRequestUnits,64.56,0.099577,64.56,4419826371,Amazon Web Services EMEA SARL,76.69,0.118287,Standard,648.340,WriteRequestUnits,AWS,"Amazon Web Services, Inc.",eu-west-1,Europe (Ireland),arn:aws:dynamodb:eu-west-1:333333333333:table/table-0396,table-0396,table,Databases,Amazon DynamoDB,NoSQL Databases,F5NQ8ZJVCT2XR6WD,WriteRequestUnits,F5NQ8ZJVCT2XR6WD.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""security"",""system"":""ledger"",""environment"":""staging""}","{""Enterprise Discount Program"":12.13}",PutItem,AmazonDynamoDB
118.88,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,AWS Lambda Lambda-GB-Second,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,,,,,,,,118.730,seconds,118.88,1.001263,118.88,4419826371,Amazon Web Services EMEA SARL,141.45,1.191359,Standard,118.730,seconds,AWS,"Amazon Web Services, Inc.",ap-southeast-1,Asia Pacific (Singapore),arn:aws:lambda:ap-southeast-1:444444444444:function/function-0339,function-0339,function,Compute,AWS Lambda,Serverless Compute,QKR2N6MTXH8VD4FC,Lambda-GB-Second,QKR2N6MTXH8VD4FC.JRTCKXETXF,444444444444,Acme Development Sandbox,Account,"{""team"":""platform"",""system"":""ledger"",""environment"":""production""}","{""Enterprise Discount Program"":22.57}",Invoke,AWSLambda
10.04,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,AmazonCloudWatch DataProcessing-Bytes,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,,,,,,,,570.870,GB,10.04,0.017587,10.04,4419826371,Amazon Web Services EMEA SARL,11.20,0.019619,Standard,570.870,GB,AWS,"Amazon Web Services, Inc.",us-west-2,US West (Oregon),arn:aws:logs:us-west-2:111111111111:log-group/log-group-0209,log-group-0209,log-group,Management and Governance,AmazonCloudWatch,Observability,B3TDFXKP9WNC7SLM,DataProcessing-Bytes,B3TDFXKP9WNC7SLM.JRTCKXETXF,111111111111,Acme Platform Production,Account,"{""team"":""payments"",""system"":""risk-engine"",""environment"":""staging""}","{""Enterprise Discount Program"":1.16}",PutLogEvents,AmazonCloudWatch
75.69,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Simple Storage Service TimedStorage-ByteHrs,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,,,,,,,,257.330,GB-Mo,75.69,0.294136,75.69,4419826371,Amazon Web Services EMEA SARL,97.81,0.380096,Standard,257.330,GB-Mo,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:s3:eu-central-1:333333333333:bucket/bucket-0427,bucket-0427,bucket,Storage,Amazon Simple Storage Service,Object Storage,WMYPY7NCFQZK5D8H,TimedStorage-ByteHrs,WMYPY7NCFQZK5D8H.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""security"",""system"":""ledger"",""environment"":""staging""}","{""Enterprise Discount Program"":22.12}",PutObject,AmazonS3
5.36,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,AWS Lambda Lambda-GB-Second,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,,,,,,,,442.450,seconds,5.36,0.012114,5.36,4419826371,Amazon Web Services EMEA SARL,7.08,0.016002,Standard,442.450,seconds,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:lambda:eu-central-1:333333333333:function/function-0204,function-0204,function,Compute,AWS Lambda,Serverless Compute,QKR2N6MTXH8VD4FC,Lambda-GB-Second,QKR2N6MTXH8VD4FC.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""platform"",""system"":""risk-engine"",""environment"":""sandbox""}","{""Enterprise Discount Program"":1.72}",Invoke,AWSLambda
86.19,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon DynamoDB WriteRequestUnits,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,,,,,,,,574.960,WriteRequestUnits,86.19,0.149906,86.19,4419826371,Amazon Web Services EMEA SARL,116.19,0.202084,Standard,574.960,WriteRequestUnits,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:dynamodb:eu-central-1:111111111111:table/table-0386,table-0386,table,Databases,Amazon DynamoDB,NoSQL Databases,F5NQ8ZJVCT2XR6WD,WriteRequestUnits,F5NQ8ZJVCT2XR6WD.JRTCKXETXF,111111111111,Acme Platform Production,Account,"{""team"":""payments"",""system"":""ledger"",""environment"":""sandbox""}","{""Enterprise Discount Program"":30}",PutItem,AmazonDynamoDB
0.00,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud usage covered by compute-sp-3yr-noupfront,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,Spend,arn:aws:savingsplans::100000000000:savingsplan/sp-0a1b2c3d4e5f6a7b8,compute-sp-3yr-noupfront,2.000000,Used,Savings Plan,USD/hour,22.470,Hrs,32.80,1.459724,32.80,4419826371,Amazon Web Services EMEA SARL,52.90,2.354250,Committed,22.470,Hrs,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:aws:ec2:us-east-1:444444444444:instance/instance-0917,instance-0917,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,444444444444,Acme Development Sandbox,Account,"{""team"":""security"",""system"":""event-bus"",""environment"":""production""}",{},RunInstances,AmazonEC2
13.67,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Anthropic — metered usage,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,,,,,,,,770925.790,tokens,13.67,0.000018,13.67,4419826371,Amazon Web Services EMEA SARL,0.00,0.000000,Standard,770925.790,tokens,AWS,Anthropic,eu-west-1,Europe (Ireland),arn:aws:aws-marketplace:eu-west-1:333333333333:model/model-0525,model-0525,model,AI and Machine Learning,,Generative AI,,,,333333333333,Acme Data Analytics,Account,"{""team"":""security"",""system"":""risk-engine"",""environment"":""production""}",{},InvokeModelInference,
115.73,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud BoxUsage:m5.large,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,,,,,,,,115.190,Hrs,115.73,1.004688,115.73,4419826371,Amazon Web Services EMEA SARL,158.59,1.376769,Standard,115.190,Hrs,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:ec2:eu-central-1:444444444444:instance/instance-0434,instance-0434,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,444444444444,Acme Development Sandbox,Account,"{""team"":""data-eng"",""system"":""event-bus"",""environment"":""staging""}","{""Enterprise Discount Program"":42.86}",RunInstances,AmazonEC2
147.07,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Simple Storage Service TimedStorage-ByteHrs,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,,,,,,,,280.090,GB-Mo,147.07,0.525081,147.07,4419826371,Amazon Web Services EMEA SARL,182.34,0.651005,Standard,280.090,GB-Mo,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:s3:eu-central-1:444444444444:bucket/bucket-0415,bucket-0415,bucket,Storage,Amazon Simple Storage Service,Object Storage,WMYPY7NCFQZK5D8H,TimedStorage-ByteHrs,WMYPY7NCFQZK5D8H.JRTCKXETXF,444444444444,Acme Development Sandbox,Account,{},"{""Enterprise Discount Program"":35.27}",PutObject,AmazonS3
