BilledCost,BillingAccountId,BillingAccountName,BillingAccountType,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,CapacityReservationId,CapacityReservationStatus,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountQuantity,CommitmentDiscountStatus,CommitmentDiscountType,CommitmentDiscountUnit,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceId,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingCurrency,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,ServiceSubcategory,SkuId,SkuMeter,SkuPriceDetails,SkuPriceId,SubAccountId,SubAccountName,SubAccountType,Tags,x_AccountName,x_BilledCostInUsd,x_BillingProfileName,x_CostCenter,x_EffectiveCostInUsd,x_InvoiceSectionName,x_PublisherCategory,x_ResourceGroupName,x_SkuMeterCategory,x_SkuMeterName,x_SkuServiceFamily
64.56,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Cosmos DB RU/s Provisioned Throughput,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,,,,,,,,648.340,100 RU/s Hours,64.56,0.099577,64.56,G019283746,Microsoft,76.69,0.118287,Standard,EUR,648.340,100 RU/s Hours,Microsoft,Microsoft,westeurope,West Europe,/subscriptions/3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3/resourcegroups/rg-acme-databaseaccounts/providers/microsoft.documentdb/databaseaccounts/databaseaccounts-0396,databaseaccounts-0396,Microsoft.DocumentDB/databaseAccounts,Databases,Azure Cosmos DB,NoSQL Databases,DZH318Z0BPZ7,RU/s Provisioned Throughput,"{""MeterId"":""DZH318Z0BPZ7"",""TierMinimumUnits"":0}",DZH318Z0BPZ7/RU/s-Provisioned-Throughput,3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3,Data Analytics,Subscription,"{""Team"":""security"",""System"":""ledger"",""Environment"":""staging""}",Data Analytics,70.37,Acme Corp Billing Profile,cc-2087,70.37,Engineering,Microsoft,rg-acme-databaseaccounts,Azure Cosmos DB,RU/s Provisioned Throughput,Databases
118.88,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Functions Execution Time,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,,,,,,,,118.730,GB Seconds,118.88,1.001263,118.88,G019283746,Microsoft,141.45,1.191359,Standard,EUR,118.730,GB Seconds,Microsoft,Microsoft,southeastasia,Southeast Asia,/subscriptions/3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4/resourcegroups/rg-acme-sites/providers/microsoft.web/sites/sites-0339,sites-0339,Microsoft.Web/sites,Compute,Azure Functions,Serverless Compute,DZH318Z0BQ6R,Execution Time,"{""MeterId"":""DZH318Z0BQ6R"",""TierMinimumUnits"":0}",DZH318Z0BQ6R/Execution-Time,3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4,Development Sandbox,Subscription,"{""Team"":""platform"",""System"":""ledger"",""Environment"":""production""}",Development Sandbox,129.58,Acme Corp Billing Profile,cc-2087,129.58,Engineering,Microsoft,rg-acme-sites,Azure Functions,Execution Time,Compute
10.04,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Monitor Data Ingestion,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,,,,,,,,570.870,GB,10.04,0.017587,10.04,G019283746,Microsoft,11.20,0.019619,Standard,EUR,570.870,GB,Microsoft,Microsoft,westus2,West US 2,/subscriptions/3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1/resourcegroups/rg-acme-workspaces/providers/microsoft.operationalinsights/workspaces/workspaces-0209,workspaces-0209,Microsoft.OperationalInsights/workspaces,Management and Governance,Azure Monitor,Observability,DZH318Z0BS3Q,Data Ingestion,"{""MeterId"":""DZH318Z0BS3Q"",""TierMinimumUnits"":0}",DZH318Z0BS3Q/Data-Ingestion,3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1,Platform Production,Subscription,"{""Team"":""payments"",""System"":""risk-engine"",""Environment"":""staging""}",Platform Production,10.94,Acme Corp Billing Profile,cc-2087,10.94,Engineering,Microsoft,rg-acme-workspaces,Azure Monitor,Data Ingestion,Management and Governance
75.69,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Blob Storage Hot LRS Data Stored,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,,,,,,,,257.330,GB/Month,75.69,0.294136,75.69,G019283746,Microsoft,97.81,0.380096,Standard,EUR,257.330,GB/Month,Microsoft,Microsoft,northeurope,North Europe,/subscriptions/3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3/resourcegroups/rg-acme-storageaccounts/providers/microsoft.storage/storageaccounts/storageaccounts-0427,storageaccounts-0427,Microsoft.Storage/storageAccounts,Storage,Azure Blob Storage,Object Storage,DZH318Z0BNZ4,Hot LRS Data Stored,"{""MeterId"":""DZH318Z0BNZ4"",""TierMinimumUnits"":0}",DZH318Z0BNZ4/Hot-LRS-Data-Stored,3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3,Data Analytics,Subscription,"{""Team"":""security"",""System"":""ledger"",""Environment"":""staging""}",Data Analytics,82.50,Acme Corp Billing Profile,cc-2087,82.50,Engineering,Microsoft,rg-acme-storageaccounts,Azure Blob Storage,Hot LRS Data Stored,Storage
5.36,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Functions Execution Time,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,,,,,,,,442.450,GB Seconds,5.36,0.012114,5.36,G019283746,Microsoft,7.08,0.016002,Standard,EUR,442.450,GB Seconds,Microsoft,Microsoft,northeurope,North Europe,/subscriptions/3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3/resourcegroups/rg-acme-sites/providers/microsoft.web/sites/sites-0204,sites-0204,Microsoft.Web/sites,Compute,Azure Functions,Serverless Compute,DZH318Z0BQ6R,Execution Time,"{""MeterId"":""DZH318Z0BQ6R"",""TierMinimumUnits"":0}",DZH318Z0BQ6R/Execution-Time,3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3,Data Analytics,Subscription,"{""Team"":""platform"",""System"":""risk-engine"",""Environment"":""sandbox""}",Data Analytics,5.84,Acme Corp Billing Profile,cc-2087,5.84,Engineering,Microsoft,rg-acme-sites,Azure Functions,Execution Time,Compute
86.19,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Cosmos DB RU/s Provisioned Throughput,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,,,,,,,,574.960,100 RU/s Hours,86.19,0.149906,86.19,G019283746,Microsoft,116.19,0.202084,Standard,EUR,574.960,100 RU/s Hours,Microsoft,Microsoft,northeurope,North Europe,/subscriptions/3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1/resourcegroups/rg-acme-databaseaccounts/providers/microsoft.documentdb/databaseaccounts/databaseaccounts-0386,databaseaccounts-0386,Microsoft.DocumentDB/databaseAccounts,Databases,Azure Cosmos DB,NoSQL Databases,DZH318Z0BPZ7,RU/s Provisioned Throughput,"{""MeterId"":""DZH318Z0BPZ7"",""TierMinimumUnits"":0}",DZH318Z0BPZ7/RU/s-Provisioned-Throughput,3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1,Platform Production,Subscription,"{""Team"":""payments"",""System"":""ledger"",""Environment"":""sandbox""}",Platform Production,93.95,Acme Corp Billing Profile,cc-2087,93.95,Engineering,Microsoft,rg-acme-databaseaccounts,Azure Cosmos DB,RU/s Provisioned Throughput,Databases
0.00,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Virtual Machines usage covered by ri-d4sv5-westeurope-3yr,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,Usage,/providers/Microsoft.Capacity/reservationOrders/9d4a6c31-77b2-4f0e-9c1a-6b8e2d5f3a10/reservations/4c7f1b8e-2a93-4d6c-8e05-1f7b9a3c6d24,ri-d4sv5-westeurope-3yr,4.000000,Used,Reservation,Hours,22.470,Hours,32.80,1.459724,32.80,G019283746,Microsoft,52.90,2.354250,Committed,EUR,22.470,Hours,Microsoft,Microsoft,eastus,East US,/subscriptions/3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4/resourcegroups/rg-acme-virtualmachines/providers/microsoft.compute/virtualmachines/virtualmachines-0917,virtualmachines-0917,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,Virtual Machines,DZH318Z0BQ4P,D4s v5 Compute Hours,"{""MeterId"":""DZH318Z0BQ4P"",""TierMinimumUnits"":0}",DZH318Z0BQ4P/D4s-v5-Compute-Hours,3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4,Development Sandbox,Subscription,"{""Team"":""security"",""System"":""event-bus"",""Environment"":""production""}",Development Sandbox,0.00,Acme Corp Billing Profile,cc-2087,35.75,Engineering,Microsoft,rg-acme-virtualmachines,Virtual Machines,D4s v5 Compute Hours,Compute
13.67,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Datadog — Pro Host Hours,Usage-Based,2026-05-02 00:00:00,2026-05-01 00:00:00,,,,,,,,770925.790,Hours,13.67,0.000018,13.67,G019283746,Microsoft,0.00,0.000000,Standard,EUR,770925.790,Hours,Microsoft,Datadog,westeurope,West Europe,/subscriptions/3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3/resourcegroups/rg-acme-monitors/providers/datadog.monitor/monitors/monitors-0525,monitors-0525,Datadog.Monitor/monitors,Management and Governance,Datadog Pro,Observability,DZH318Z0C1WY,Pro Host Hours,"{""MeterId"":""DZH318Z0C1WY"",""TierMinimumUnits"":0}",DZH318Z0C1WY/Pro-Host-Hours,3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3,Data Analytics,Subscription,"{""Team"":""security"",""System"":""risk-engine"",""Environment"":""production""}",Data Analytics,14.90,Acme Corp Billing Profile,cc-2087,14.90,Engineering,Marketplace,rg-acme-monitors,Datadog Pro,Pro Host Hours,Management and Governance
115.73,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Virtual Machines D4s v5 Compute Hours,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,,,,,,,,115.190,Hours,115.73,1.004688,115.73,G019283746,Microsoft,158.59,1.376769,Standard,EUR,115.190,Hours,Microsoft,Microsoft,northeurope,North Europe,/subscriptions/3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4/resourcegroups/rg-acme-virtualmachines/providers/microsoft.compute/virtualmachines/virtualmachines-0434,virtualmachines-0434,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,Virtual Machines,DZH318Z0BQ4P,D4s v5 Compute Hours,"{""MeterId"":""DZH318Z0BQ4P"",""TierMinimumUnits"":0}",DZH318Z0BQ4P/D4s-v5-Compute-Hours,3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4,Development Sandbox,Subscription,"{""Team"":""data-eng"",""System"":""event-bus"",""Environment"":""staging""}",Development Sandbox,126.15,Acme Corp Billing Profile,cc-2087,126.15,Engineering,Microsoft,rg-acme-virtualmachines,Virtual Machines,D4s v5 Compute Hours,Compute
147.07,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Blob Storage Hot LRS Data Stored,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,,,,,,,,280.090,GB/Month,147.07,0.525081,147.07,G019283746,Microsoft,182.34,0.651005,Standard,EUR,280.090,GB/Month,Microsoft,Microsoft,northeurope,North Europe,/subscriptions/3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4/resourcegroups/rg-acme-storageaccounts/providers/microsoft.storage/storageaccounts/storageaccounts-0415,storageaccounts-0415,Microsoft.Storage/storageAccounts,Storage,Azure Blob Storage,Object Storage,DZH318Z0BNZ4,Hot LRS Data Stored,"{""MeterId"":""DZH318Z0BNZ4"",""TierMinimumUnits"":0}",DZH318Z0BNZ4/Hot-LRS-Data-Stored,3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4,Development Sandbox,Subscription,{},Development Sandbox,160.31,Acme Corp Billing Profile,cc-2087,160.31,Engineering,Microsoft,rg-acme-storageaccounts,Azure Blob Storage,Hot LRS Data Stored,Storage
