AvailabilityZone,BilledCost,BillingAccountId,BillingAccountType,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargePeriodEnd,ChargePeriodStart,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,ListCost,ListUnitPrice,PricingCategory,PricingCurrency,PricingCurrencyContractedUnitPrice,PricingCurrencyEffectiveCost,PricingCurrencyListUnitPrice,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ServiceName,SkuId,SkuPriceId,SubAccountId,SubAccountName,x_ConsumptionModelId,x_CostType,x_Credits,x_CurrencyConversionRate,x_ExportTime,x_Labels,x_Location,x_Project,x_ProjectLabels,x_ServiceId,x_SubscriptionInstanceId,x_SystemLabels,x_Tags
,64.56,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Google Kubernetes Engine Autopilot Pod vCPU,2026-05-02 00:00:00,2026-05-01 00:00:00,648.340,hour,64.56,0.099577,64.56,76.69,0.118287,Standard,USD,0.099577,64.56,0.118287,648.340,hour,Google Cloud,Google Cloud,europe-west1,Belgium,//container.googleapis.com/projects/acme-data-prod/locations/europe-west1/clusters/cluster-0396,cluster-0396,Google Kubernetes Engine,7F3A-2C68-B04D,7F3A-2C68-B04D-price,acme-data-prod,Acme Data Analytics,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""security""},{""Key"":""system"",""Value"":""ledger""}]",europe-west1,"{""Id"":""acme-data-prod"",""Name"":""Acme Data Analytics"",""Number"":""123456789002""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",CCD8-9BF1-090E,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""staging"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
,118.88,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Cloud Run Cloud Run CPU Allocation Time,2026-05-02 00:00:00,2026-05-01 00:00:00,118.730,second,118.88,1.001263,118.88,141.45,1.191359,Standard,USD,1.001263,118.88,1.191359,118.730,second,Google Cloud,Google Cloud,asia-southeast1,Singapore,//run.googleapis.com/projects/acme-sandbox/locations/asia-southeast1/services/service-0339,service-0339,Cloud Run,A1C3-9B27-4D65,A1C3-9B27-4D65-price,acme-sandbox,Acme Development Sandbox,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""platform""},{""Key"":""system"",""Value"":""ledger""}]",asia-southeast1,"{""Id"":""acme-sandbox"",""Name"":""Acme Development Sandbox"",""Number"":""123456789003""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",152E-C115-5142,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""production"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
,10.04,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,BigQuery Analysis,2026-05-02 00:00:00,2026-05-01 00:00:00,570.870,tebibyte,10.04,0.017587,10.04,11.20,0.019619,Standard,USD,0.017587,10.04,0.019619,570.870,tebibyte,Google Cloud,Google Cloud,us-east4,Northern Virginia,//bigquery.googleapis.com/projects/acme-platform-prod/locations/us-east4/datasets/dataset-0209,dataset-0209,BigQuery,D5B1-8E44-70A9,D5B1-8E44-70A9-price,acme-platform-prod,Acme Platform Production,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""payments""},{""Key"":""system"",""Value"":""risk-engine""}]",us-east4,"{""Id"":""acme-platform-prod"",""Name"":""Acme Platform Production"",""Number"":""123456789000""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",24E6-581D-38E5,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""staging"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
,75.69,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Cloud Storage Standard Storage EU,2026-05-02 00:00:00,2026-05-01 00:00:00,257.330,gibibyte month,75.69,0.294136,75.69,97.81,0.380096,Standard,USD,0.294136,75.69,0.380096,257.330,gibibyte month,Google Cloud,Google Cloud,europe-west4,Netherlands,//storage.googleapis.com/projects/acme-data-prod/locations/europe-west4/buckets/bucket-0427,bucket-0427,Cloud Storage,E5F0-6A48-F9C1,E5F0-6A48-F9C1-price,acme-data-prod,Acme Data Analytics,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""security""},{""Key"":""system"",""Value"":""ledger""}]",europe-west4,"{""Id"":""acme-data-prod"",""Name"":""Acme Data Analytics"",""Number"":""123456789002""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",95FF-2EF5-5EA1,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""staging"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
,5.36,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Cloud Run Cloud Run CPU Allocation Time,2026-05-02 00:00:00,2026-05-01 00:00:00,442.450,second,5.36,0.012114,5.36,7.08,0.016002,Standard,USD,0.012114,5.36,0.016002,442.450,second,Google Cloud,Google Cloud,europe-west4,Netherlands,//run.googleapis.com/projects/acme-data-prod/locations/europe-west4/services/service-0204,service-0204,Cloud Run,A1C3-9B27-4D65,A1C3-9B27-4D65-price,acme-data-prod,Acme Data Analytics,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""platform""},{""Key"":""system"",""Value"":""risk-engine""}]",europe-west4,"{""Id"":""acme-data-prod"",""Name"":""Acme Data Analytics"",""Number"":""123456789002""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",152E-C115-5142,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""sandbox"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
,86.19,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Google Kubernetes Engine Autopilot Pod vCPU,2026-05-02 00:00:00,2026-05-01 00:00:00,574.960,hour,86.19,0.149906,86.19,116.19,0.202084,Standard,USD,0.149906,86.19,0.202084,574.960,hour,Google Cloud,Google Cloud,europe-west4,Netherlands,//container.googleapis.com/projects/acme-platform-prod/locations/europe-west4/clusters/cluster-0386,cluster-0386,Google Kubernetes Engine,7F3A-2C68-B04D,7F3A-2C68-B04D-price,acme-platform-prod,Acme Platform Production,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""payments""},{""Key"":""system"",""Value"":""ledger""}]",europe-west4,"{""Id"":""acme-platform-prod"",""Name"":""Acme Platform Production"",""Number"":""123456789000""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",CCD8-9BF1-090E,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""sandbox"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
us-central1-a,0.00,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Compute Engine usage covered by Committed use discount: N2 vCPU (3 year),2026-05-02 00:00:00,2026-05-01 00:00:00,22.470,hour,32.80,1.459724,32.80,52.90,2.354250,Committed,USD,1.459724,32.80,2.354250,22.470,hour,Google Cloud,Google Cloud,us-central1,Iowa,//compute.googleapis.com/projects/acme-sandbox/zones/us-central1-a/instances/instance-0917,instance-0917,Compute Engine,2E27-4F75-95CD,2E27-4F75-95CD-price,acme-sandbox,Acme Development Sandbox,,regular,"[{""Id"":""cud-compute-n2-3yr-us-central1"",""FullName"":""Committed use discount: N2 vCPU (3 year)"",""Type"":""COMMITTED_USAGE_DISCOUNT"",""Name"":""Committed use discount: N2 vCPU (3 year)"",""Amount"":-20.1}]",1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""security""},{""Key"":""system"",""Value"":""event-bus""}]",us-central1,"{""Id"":""acme-sandbox"",""Name"":""Acme Development Sandbox"",""Number"":""123456789003""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",6F81-5844-456A,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""production"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
,13.67,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,"Confluent, Inc. — Confluent Cloud eCKU",2026-05-02 00:00:00,2026-05-01 00:00:00,770925.790,hour,13.67,0.000018,13.67,0.00,0.000000,Standard,USD,0.000018,13.67,0.000000,770925.790,hour,Google Cloud,"Confluent, Inc.",europe-west1,Belgium,//cloudcommerceconsumerprocurement.googleapis.com/projects/acme-data-prod/locations/europe-west1/clusters/cluster-0525,cluster-0525,Confluent Cloud,B8D2-1F35-6C07,B8D2-1F35-6C07-price,acme-data-prod,Acme Data Analytics,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""security""},{""Key"":""system"",""Value"":""risk-engine""}]",europe-west1,"{""Id"":""acme-data-prod"",""Name"":""Acme Data Analytics"",""Number"":""123456789002""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",C0AF-0C4B-3A1D,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""production"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
europe-west4-a,115.73,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Compute Engine N2 Instance Core running,2026-05-03 00:00:00,2026-05-02 00:00:00,115.190,hour,115.73,1.004688,115.73,158.59,1.376769,Standard,USD,1.004688,115.73,1.376769,115.190,hour,Google Cloud,Google Cloud,europe-west4,Netherlands,//compute.googleapis.com/projects/acme-sandbox/zones/europe-west4-a/instances/instance-0434,instance-0434,Compute Engine,2E27-4F75-95CD,2E27-4F75-95CD-price,acme-sandbox,Acme Development Sandbox,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""data-eng""},{""Key"":""system"",""Value"":""event-bus""}]",europe-west4,"{""Id"":""acme-sandbox"",""Name"":""Acme Development Sandbox"",""Number"":""123456789003""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",6F81-5844-456A,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""staging"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
,147.07,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Cloud Storage Standard Storage EU,2026-05-03 00:00:00,2026-05-02 00:00:00,280.090,gibibyte month,147.07,0.525081,147.07,182.34,0.651005,Standard,USD,0.525081,147.07,0.651005,280.090,gibibyte month,Google Cloud,Google Cloud,europe-west4,Netherlands,//storage.googleapis.com/projects/acme-sandbox/locations/europe-west4/buckets/bucket-0415,bucket-0415,Cloud Storage,E5F0-6A48-F9C1,E5F0-6A48-F9C1-price,acme-sandbox,Acme Development Sandbox,,regular,[],1.000000,2026-06-02 04:17:33,[],europe-west4,"{""Id"":""acme-sandbox"",""Name"":""Acme Development Sandbox"",""Number"":""123456789003""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",95FF-2EF5-5EA1,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]",[]
